Red,Green,Blue,Nearest Color Name
0,0,0,Black
0,0,32,Black
0,0,64,MidnightBlue
0,0,96,Navy
0,0,128,Navy
0,0,160,DarkBlue
0,0,192,MediumBlue
0,0,224,MediumBlue
0,32,0,Black
0,32,32,Black
0,32,64,MidnightBlue
0,32,96,MidnightBlue
0,32,128,MidnightBlue
0,32,160,DarkBlue
0,32,192,MediumBlue
0,32,224,MediumBlue
0,64,0,DarkGreen
0,64,32,DarkGreen
0,64,64,DarkSlateGray
0,64,96,MidnightBlue
0,64,128,MidnightBlue
0,64,160,MidnightBlue
0,64,192,MediumBlue
0,64,224,MediumBlue
0,96,0,DarkGreen
0,96,32,DarkGreen
0,96,64,DarkSlateGray
0,96,96,DarkSlateGray
0,96,128,DarkCyan
0,96,160,DarkCyan
0,96,192,DarkCyan
0,96,224,DodgerBlue
0,128,0,Green
0,128,32,Green
0,128,64,ForestGreen
0,128,96,DarkCyan
0,128,128,DarkCyan
0,128,160,DarkCyan
0,128,192,DarkCyan
0,128,224,DodgerBlue
0,160,0,Green
0,160,32,ForestGreen
0,160,64,ForestGreen
0,160,96,DarkCyan
0,160,128,DarkCyan
0,160,160,DarkCyan
0,160,192,LightSeaGreen
0,160,224,DeepSkyBlue
0,192,0,Lime
0,192,32,LimeGreen
0,192,64,LimeGreen
0,192,96,MediumSeaGreen
0,192,128,DarkCyan
0,192,160,LightSeaGreen
0,192,192,DarkTurquoise
0,192,224,DarkTurquoise
0,224,0,Lime
0,224,32,Lime
0,224,64,LimeGreen
0,224,96,MediumSpringGreen
0,224,128,MediumSpringGreen
0,224,160,MediumSpringGreen
0,224,192,DarkTurquoise
0,224,224,DarkTurquoise
32,0,0,Black
32,0,32,Black
32,0,64,MidnightBlue
32,0,96,MidnightBlue
32,0,128,MidnightBlue
32,0,160,DarkBlue
32,0,192,MediumBlue
32,0,224,MediumBlue
32,32,0,Black
32,32,32,Black
32,32,64,MidnightBlue
32,32,96,MidnightBlue
32,32,128,MidnightBlue
32,32,160,MidnightBlue
32,32,192,MediumBlue
32,32,224,MediumBlue
32,64,0,DarkGreen
32,64,32,DarkSlateGray
32,64,64,DarkSlateGray
32,64,96,DarkSlateGray
32,64,128,DarkSlateBlue
32,64,160,DarkSlateBlue
32,64,192,DarkSlateBlue
32,64,224,MediumBlue
32,96,0,DarkGreen
32,96,32,ForestGreen
32,96,64,DarkSlateGray
32,96,96,DarkSlateGray
32,96,128,DarkSlateGray
32,96,160,DarkSlateBlue
32,96,192,DarkSlateBlue
32,96,224,DodgerBlue
32,128,0,Green
32,128,32,ForestGreen
32,128,64,ForestGreen
32,128,96,DarkSlateGray
32,128,128,DarkCyan
32,128,160,DarkCyan
32,128,192,LightSeaGreen
32,128,224,DodgerBlue
32,160,0,ForestGreen
32,160,32,ForestGreen
32,160,64,ForestGreen
32,160,96,MediumSeaGreen
32,160,128,MediumSeaGreen
32,160,160,LightSeaGreen
32,160,192,LightSeaGreen
32,160,224,DodgerBlue
32,192,0,LimeGreen
32,192,32,LimeGreen
32,192,64,LimeGreen
32,192,96,MediumSeaGreen
32,192,128,MediumSeaGreen
32,192,160,LightSeaGreen
32,192,192,LightSeaGreen
32,192,224,DarkTurquoise
32,224,0,Lime
32,224,32,LimeGreen
32,224,64,LimeGreen
32,224,96,LimeGreen
32,224,128,MediumSpringGreen
32,224,160,MediumSpringGreen
32,224,192,DarkTurquoise
32,224,224,DarkTurquoise
64,0,0,Black
64,0,32,Black
64,0,64,MidnightBlue
64,0,96,Indigo
64,0,128,Indigo
64,0,160,Indigo
64,0,192,Indigo
64,0,224,MediumBlue
64,32,0,Black
64,32,32,DarkSlateGray
64,32,64,DarkSlateGray
64,32,96,MidnightBlue
64,32,128,DarkSlateBlue
64,32,160,DarkSlateBlue
64,32,192,DarkSlateBlue
64,32,224,MediumBlue
64,64,0,DarkOliveGreen
64,64,32,DarkOliveGreen
64,64,64,DarkSlateGray
64,64,96,DarkSlateGray
64,64,128,DarkSlateBlue
64,64,160,DarkSlateBlue
64,64,192,DarkSlateBlue
64,64,224,MediumSlateBlue
64,96,0,DarkOliveGreen
64,96,32,DarkOliveGreen
64,96,64,DarkSlateGray
64,96,96,DarkSlateGray
64,96,128,DarkSlateBlue
64,96,160,DarkSlateBlue
64,96,192,DarkSlateBlue
64,96,224,MediumSlateBlue
64,128,0,ForestGreen
64,128,32,ForestGreen
64,128,64,DarkOliveGreen
64,128,96,DimGray
64,128,128,DimGray
64,128,160,CadetBlue
64,128,192,CadetBlue
64,128,224,CornflowerBlue
64,160,0,ForestGreen
64,160,32,ForestGreen
64,160,64,ForestGreen
64,160,96,MediumSeaGreen
64,160,128,MediumSeaGreen
64,160,160,CadetBlue
64,160,192,LightSeaGreen
64,160,224,CornflowerBlue
64,192,0,LimeGreen
64,192,32,LimeGreen
64,192,64,LimeGreen
64,192,96,MediumSeaGreen
64,192,128,MediumSeaGreen
64,192,160,LightSeaGreen
64,192,192,MediumTurquoise
64,192,224,MediumTurquoise
64,224,0,LimeGreen
64,224,32,LimeGreen
64,224,64,LimeGreen
64,224,96,MediumSeaGreen
64,224,128,MediumSeaGreen
64,224,160,MediumAquaMarine
64,224,192,MediumTurquoise
64,224,224,MediumTurquoise
96,0,0,Maroon
96,0,32,Maroon
96,0,64,Indigo
96,0,96,Indigo
96,0,128,Indigo
96,0,160,Indigo
96,0,192,DarkViolet
96,0,224,DarkViolet
96,32,0,Maroon
96,32,32,Maroon
96,32,64,DarkSlateGray
96,32,96,Indigo
96,32,128,Indigo
96,32,160,DarkSlateBlue
96,32,192,BlueViolet
96,32,224,BlueViolet
96,64,0,DarkOliveGreen
96,64,32,DarkOliveGreen
96,64,64,DarkOliveGreen
96,64,96,DimGray
96,64,128,DarkSlateBlue
96,64,160,DarkSlateBlue
96,64,192,BlueViolet
96,64,224,BlueViolet
96,96,0,DarkOliveGreen
96,96,32,DarkOliveGreen
96,96,64,DarkOliveGreen
96,96,96,DimGray
96,96,128,DimGray
96,96,160,LightSlateGray
96,96,192,MediumSlateBlue
96,96,224,MediumSlateBlue
96,128,0,DarkOliveGreen
96,128,32,DarkOliveGreen
96,128,64,DarkOliveGreen
96,128,96,DimGray
96,128,128,Gray
96,128,160,LightSlateGray
96,128,192,CadetBlue
96,128,224,CornflowerBlue
96,160,0,DarkOliveGreen
96,160,32,DarkOliveGreen
96,160,64,DarkOliveGreen
96,160,96,MediumSeaGreen
96,160,128,CadetBlue
96,160,160,CadetBlue
96,160,192,CadetBlue
96,160,224,CornflowerBlue
96,192,0,LawnGreen
96,192,32,LimeGreen
96,192,64,LimeGreen
96,192,96,MediumSeaGreen
96,192,128,MediumSeaGreen
96,192,160,MediumAquaMarine
96,192,192,MediumAquaMarine
96,192,224,MediumTurquoise
96,224,0,LawnGreen
96,224,32,LawnGreen
96,224,64,LimeGreen
96,224,96,MediumSeaGreen
96,224,128,MediumAquaMarine
96,224,160,MediumAquaMarine
96,224,192,MediumAquaMarine
96,224,224,MediumTurquoise
128,0,0,Maroon
128,0,32,Maroon
128,0,64,Brown
128,0,96,DarkMagenta
128,0,128,DarkMagenta
128,0,160,DarkMagenta
128,0,192,DarkViolet
128,0,224,DarkViolet
128,32,0,Maroon
128,32,32,Brown
128,32,64,Brown
128,32,96,DarkMagenta
128,32,128,DarkMagenta
128,32,160,DarkMagenta
128,32,192,DarkOrchid
128,32,224,BlueViolet
128,64,0,Brown
128,64,32,Brown
128,64,64,Brown
128,64,96,DimGray
128,64,128,DimGray
128,64,160,DarkOrchid
128,64,192,DarkOrchid
128,64,224,BlueViolet
128,96,0,DarkOliveGreen
128,96,32,DarkOliveGreen
128,96,64,DarkOliveGreen
128,96,96,DimGray
128,96,128,Gray
128,96,160,LightSlateGray
128,96,192,MediumPurple
128,96,224,MediumSlateBlue
128,128,0,DarkGoldenRod
128,128,32,DarkOliveGreen
128,128,64,DarkOliveGreen
128,128,96,Gray
128,128,128,Gray
128,128,160,LightSlateGray
128,128,192,MediumPurple
128,128,224,MediumPurple
128,160,0,DarkGoldenRod
128,160,32,DarkGoldenRod
128,160,64,DarkOliveGreen
128,160,96,Gray
128,160,128,Gray
128,160,160,LightSlateGray
128,160,192,CadetBlue
128,160,224,CornflowerBlue
128,192,0,LawnGreen
128,192,32,LawnGreen
128,192,64,DarkKhaki
128,192,96,DarkSeaGreen
128,192,128,DarkSeaGreen
128,192,160,DarkSeaGreen
128,192,192,MediumAquaMarine
128,192,224,LightSkyBlue
128,224,0,LawnGreen
128,224,32,LawnGreen
128,224,64,GreenYellow
128,224,96,LightGreen
128,224,128,LightGreen
128,224,160,LightGreen
128,224,192,Aquamarine
128,224,224,LightSkyBlue
160,0,0,DarkRed
160,0,32,DarkRed
160,0,64,Brown
160,0,96,DarkMagenta
160,0,128,DarkMagenta
160,0,160,DarkMagenta
160,0,192,DarkViolet
160,0,224,DarkViolet
160,32,0,DarkRed
160,32,32,Brown
160,32,64,Brown
160,32,96,MediumVioletRed
160,32,128,DarkMagenta
160,32,160,DarkMagenta
160,32,192,DarkOrchid
160,32,224,BlueViolet
160,64,0,Brown
160,64,32,Brown
160,64,64,Brown
160,64,96,IndianRed
160,64,128,MediumVioletRed
160,64,160,DarkOrchid
160,64,192,DarkOrchid
160,64,224,DarkOrchid
160,96,0,DarkGoldenRod
160,96,32,DarkGoldenRod
160,96,64,IndianRed
160,96,96,IndianRed
160,96,128,Gray
160,96,160,Gray
160,96,192,MediumPurple
160,96,224,MediumPurple
160,128,0,DarkGoldenRod
160,128,32,DarkGoldenRod
160,128,64,DarkGoldenRod
160,128,96,Gray
160,128,128,Gray
160,128,160,LightSlateGray
160,128,192,MediumPurple
160,128,224,MediumPurple
160,160,0,DarkGoldenRod
160,160,32,DarkGoldenRod
160,160,64,DarkKhaki
160,160,96,DarkKhaki
160,160,128,DarkSeaGreen
160,160,160,DarkGray
160,160,192,DarkGray
160,160,224,LightSteelBlue
160,192,0,DarkGoldenRod
160,192,32,GoldenRod
160,192,64,DarkKhaki
160,192,96,DarkKhaki
160,192,128,DarkSeaGreen
160,192,160,DarkSeaGreen
160,192,192,DarkGray
160,192,224,LightSteelBlue
160,224,0,Chartreuse
160,224,32,GreenYellow
160,224,64,GreenYellow
160,224,96,DarkKhaki
160,224,128,LightGreen
160,224,160,LightGreen
160,224,192,LightBlue
160,224,224,LightBlue
192,0,0,FireBrick
192,0,32,FireBrick
192,0,64,Crimson
192,0,96,MediumVioletRed
192,0,128,MediumVioletRed
192,0,160,MediumVioletRed
192,0,192,DarkViolet
192,0,224,DarkViolet
192,32,0,FireBrick
192,32,32,FireBrick
192,32,64,Crimson
192,32,96,MediumVioletRed
192,32,128,MediumVioletRed
192,32,160,MediumVioletRed
192,32,192,DarkOrchid
192,32,224,DarkOrchid
192,64,0,FireBrick
192,64,32,FireBrick
192,64,64,Brown
192,64,96,IndianRed
192,64,128,MediumVioletRed
192,64,160,MediumVioletRed
192,64,192,MediumOrchid
192,64,224,MediumOrchid
192,96,0,Chocolate
192,96,32,Chocolate
192,96,64,IndianRed
192,96,96,IndianRed
192,96,128,IndianRed
192,96,160,MediumOrchid
192,96,192,MediumOrchid
192,96,224,MediumOrchid
192,128,0,DarkGoldenRod
192,128,32,DarkGoldenRod
192,128,64,Chocolate
192,128,96,IndianRed
192,128,128,DarkSalmon
192,128,160,DarkGray
192,128,192,MediumOrchid
192,128,224,MediumOrchid
192,160,0,DarkGoldenRod
192,160,32,GoldenRod
192,160,64,GoldenRod
192,160,96,DarkKhaki
192,160,128,DarkKhaki
192,160,160,DarkGray
192,160,192,DarkGray
192,160,224,LightSteelBlue
192,192,0,GoldenRod
192,192,32,GoldenRod
192,192,64,DarkKhaki
192,192,96,DarkKhaki
192,192,128,DarkKhaki
192,192,160,DarkGray
192,192,192,LightGray
192,192,224,LightSteelBlue
192,224,0,GreenYellow
192,224,32,GreenYellow
192,224,64,GreenYellow
192,224,96,DarkKhaki
192,224,128,DarkKhaki
192,224,160,Khaki
192,224,192,LightGray
192,224,224,LightBlue
224,0,0,Crimson
224,0,32,Crimson
224,0,64,Crimson
224,0,96,Crimson
224,0,128,MediumVioletRed
224,0,160,DeepPink
224,0,192,DeepPink
224,0,224,Fuchsia
224,32,0,FireBrick
224,32,32,Crimson
224,32,64,Crimson
224,32,96,Crimson
224,32,128,MediumVioletRed
224,32,160,DeepPink
224,32,192,DeepPink
224,32,224,Fuchsia
224,64,0,Chocolate
224,64,32,Chocolate
224,64,64,IndianRed
224,64,96,IndianRed
224,64,128,IndianRed
224,64,160,HotPink
224,64,192,MediumOrchid
224,64,224,MediumOrchid
224,96,0,Chocolate
224,96,32,Chocolate
224,96,64,IndianRed
224,96,96,IndianRed
224,96,128,LightCoral
224,96,160,HotPink
224,96,192,HotPink
224,96,224,MediumOrchid
224,128,0,DarkOrange
224,128,32,Chocolate
224,128,64,Coral
224,128,96,Coral
224,128,128,LightCoral
224,128,160,LightCoral
224,128,192,HotPink
224,128,224,HotPink
224,160,0,GoldenRod
224,160,32,GoldenRod
224,160,64,GoldenRod
224,160,96,DarkSalmon
224,160,128,DarkSalmon
224,160,160,BurlyWood
224,160,192,LightPink
224,160,224,LightPink
224,192,0,Gold
224,192,32,GoldenRod
224,192,64,GoldenRod
224,192,96,DarkKhaki
224,192,128,BurlyWood
224,192,160,BurlyWood
224,192,192,LightGray
224,192,224,LightGray
224,224,0,Gold
224,224,32,Gold
224,224,64,GreenYellow
224,224,96,Khaki
224,224,128,Khaki
224,224,160,Khaki
224,224,192,LightGray
224,224,224,Gainsboro
